id,name,price_vnd,cpu,ram_gb,vga,battery_wh,screen_size,category,cpu_norm,vga_norm,price_vnd_norm,ram_gb_norm,battery_wh_norm,screen_size_norm
1,Dell XPS 13 Plus,25000000,Intel Core i5-1340P,16,Intel Iris Xe,52,13.4,Office,0.5,0.3,0.25806451612903225,0.3333333333333333,0.20833333333333334,0.03703703703703692
2,Dell XPS 15,46000000,Intel Core i7-13700H,16,NVIDIA RTX 4050,86,15.6,Designer,0.8,1.0,0.9354838709677419,0.3333333333333333,0.9166666666666666,0.8518518518518516
3,Apple MacBook Air M3,17000000,Apple M3,16,Apple Integrated,52,13.6,Student,0.9,0.2,0.0,0.3333333333333333,0.20833333333333334,0.11111111111111074
4,Apple MacBook Pro M3,43000000,Apple M3 Pro,32,Apple Integrated,70,14.2,Business,0.9,0.2,0.8387096774193549,1.0,0.5833333333333334,0.33333333333333287
5,Acer Aspire 5,19000000,Intel Core i3-1215U,8,Intel UHD,48,15.6,Student,0.3,0.2,0.06451612903225806,0.0,0.125,0.8518518518518516
6,Acer Swift 3,30000000,AMD Ryzen 5 7530U,16,AMD Radeon,56,14.0,Office,0.5,0.2,0.41935483870967744,0.3333333333333333,0.2916666666666667,0.2592592592592591
7,Acer Nitro 5,41000000,Intel Core i5-12500H,16,NVIDIA RTX 3050,57,15.6,Gaming,0.5,0.8,0.7741935483870968,0.3333333333333333,0.3125,0.8518518518518516
8,Asus Vivobook 15,22000000,Intel Core i5-1235U,8,Intel Iris Xe,42,15.6,Student,0.5,0.3,0.16129032258064516,0.0,0.0,0.8518518518518516
9,Asus ROG Strix G16,43000000,AMD Ryzen 9 7945HX,32,NVIDIA RTX 4070,90,16.0,Gaming,1.0,1.0,0.8387096774193549,1.0,1.0,1.0
10,Asus Zenbook 14,34000000,Intel Core i7-1360P,16,Intel Iris Xe,67,14.0,Office,0.8,0.3,0.5483870967741935,0.3333333333333333,0.5208333333333334,0.2592592592592591
